area,bedrooms,bathrooms,location_score,age_of_house,floor,near_metro,parking,price
649,3,1,10,10,2,1,2,3237000
2465,3,1,6,10,0,1,1,8205000
1062,4,2,4,9,0,1,0,3816000
2498,4,1,3,19,3,0,0,7644000
2822,2,4,8,8,4,1,2,9636000
2616,3,2,9,8,2,0,1,8878000
2525,4,1,6,11,2,1,1,8415000
1915,4,3,5,9,1,0,2,6515000
639,4,1,7,15,10,0,0,2547000
2618,5,2,2,5,2,0,0,8264000
2571,4,3,8,16,10,1,0,8633000
2635,3,2,9,13,2,0,0,8755000
2750,3,2,5,19,8,1,2,8890000
1211,1,4,3,16,1,1,1,4013000
1710,4,3,1,16,6,0,2,5360000
2809,5,3,3,0,5,0,0,9067000
1706,5,3,4,9,7,1,1,5908000
983,5,3,1,9,0,1,2,3519000
1180,5,4,4,9,7,0,0,4130000
1384,1,2,7,2,0,1,2,5232000
838,1,1,5,3,1,0,1,3114000
587,4,4,2,10,6,1,0,2231000
2211,2,4,8,11,9,1,0,7583000
1562,1,3,4,14,8,1,0,5096000
1837,4,3,1,19,8,1,0,5671000
1822,4,3,10,14,5,0,2,6636000
1025,4,2,10,3,10,0,1,4355000
716,2,2,2,9,8,1,1,2558000
1529,1,2,9,3,3,0,0,5537000
1821,1,2,6,10,8,1,0,6123000
1976,1,4,4,8,1,1,2,6648000
2169,4,4,5,14,3,1,1,7277000
2677,5,3,6,17,2,1,1,8861000
677,4,1,2,13,3,1,1,2431000
2343,4,1,2,15,1,1,0,7309000
1552,5,1,9,19,1,0,0,5456000
1894,4,2,10,13,5,0,2,6842000
2987,2,2,8,6,1,0,0,9801000
1332,4,2,10,11,0,0,0,5036000
856,3,3,2,8,1,0,1,2928000
549,5,3,10,3,3,0,2,3087000
1491,2,4,2,0,9,0,2,5053000
2346,4,3,3,5,6,0,1,7608000
672,2,3,1,16,1,1,2,2296000
811,5,1,4,11,8,1,0,3043000
1943,1,1,1,18,10,0,1,5729000
1187,3,2,3,1,9,1,1,4281000
1373,4,1,9,16,4,1,1,5159000
1997,3,4,7,12,8,1,0,6871000
1230,2,1,6,4,7,0,1,4420000
2416,4,1,2,19,9,0,0,7298000
2650,3,3,1,19,9,0,0,7910000
1473,5,1,2,5,2,1,2,5109000
1720,1,3,9,2,9,1,0,6310000
2759,1,4,1,4,9,1,1,8697000
1985,5,2,9,1,3,1,2,7455000
1312,4,3,8,18,10,1,0,4816000
1406,4,4,2,1,3,1,1,4948000
2574,4,4,8,8,7,1,2,8992000
820,5,3,7,5,1,0,1,3480000
2250,5,2,9,11,1,1,2,8050000
1485,2,4,3,9,3,1,2,5105000
936,5,2,1,11,4,1,2,3308000
2877,4,3,8,16,2,0,0,9401000
2245,5,1,5,13,9,0,2,7415000
2567,2,2,10,7,0,1,2,9031000
2455,1,3,5,5,9,1,0,8055000
2891,4,2,8,10,2,0,0,9533000
2882,3,2,1,17,9,0,1,8696000
509,2,1,2,0,5,0,2,2017000
1023,4,3,3,8,8,1,1,3729000
1600,4,4,10,15,0,1,0,5970000
1296,3,4,8,11,0,0,2,4898000
1145,1,1,3,13,4,1,1,3785000
1774,5,3,2,5,9,0,1,5842000
2234,3,4,3,17,10,1,1,7162000
1178,1,4,7,0,2,1,1,4634000
956,5,1,5,0,2,0,2,3808000
972,1,1,6,14,3,1,2,3626000
2582,5,1,10,2,2,0,0,8986000
1803,3,1,9,2,10,0,1,6529000
1139,3,2,8,10,10,0,2,4387000
1628,5,3,10,3,6,1,2,6474000
2776,1,3,4,5,8,0,1,8848000
1946,2,1,10,19,8,0,0,6588000
1229,5,1,3,10,5,0,0,4067000
2674,2,4,7,0,6,0,2,9102000
533,5,2,2,20,3,1,2,2019000
626,1,4,9,16,2,1,1,2858000
2023,5,4,7,18,4,1,1,7009000
1154,1,2,4,13,6,1,0,3862000
1233,1,3,4,0,6,1,1,4469000
2458,1,3,4,19,5,1,1,7764000
818,2,4,1,14,7,1,2,2804000
1782,2,4,2,19,9,0,1,5466000
1080,5,4,10,5,3,0,0,4510000
1479,4,2,10,7,5,0,0,5557000
954,5,4,3,2,7,1,2,3802000
1120,5,1,1,14,2,1,0,3610000
1155,3,1,3,11,0,0,0,3725000
1722,3,3,10,2,9,0,2,6526000
2493,2,1,10,12,3,1,1,8599000
2718,5,2,6,13,0,1,0,8954000
850,4,3,1,17,4,1,0,2750000
553,3,2,6,14,4,1,1,2419000
969,3,3,6,3,2,0,1,3767000
2842,3,4,8,14,7,0,1,9396000
1131,2,3,7,5,1,1,2,4493000
2696,4,2,9,5,8,1,0,9298000
1881,4,3,10,11,9,1,2,7023000
1844,1,3,10,16,7,1,0,6502000
1748,1,1,1,1,10,1,1,5634000
2479,2,1,3,4,9,1,0,7937000
2211,5,4,4,11,9,0,0,7183000
2854,1,2,3,14,0,1,0,8842000
2811,1,2,1,5,2,0,1,8623000
1166,2,3,7,1,6,0,1,4448000
1538,3,3,2,18,8,1,2,5004000
2695,2,1,2,13,9,0,1,8235000
677,5,3,4,14,1,0,1,2571000
552,5,1,6,8,3,1,0,2526000
2172,5,4,8,2,0,1,0,7796000
2735,1,4,1,7,6,1,1,8565000
922,5,3,9,11,2,0,0,3786000
2821,2,2,7,14,8,1,1,9273000
1173,1,3,8,14,9,0,1,4259000
881,1,1,1,14,6,0,1,2623000
1019,1,4,3,20,2,0,0,3127000
2770,3,2,10,7,2,0,1,9460000
638,4,2,7,14,1,0,1,2674000
2652,4,2,5,0,7,1,1,8946000
2444,2,1,3,8,0,0,2,7762000
2429,1,4,5,14,7,0,0,7677000
1711,4,1,2,1,0,1,0,5693000
2633,3,3,3,0,0,0,0,8439000
1863,4,3,3,3,6,0,0,6119000
1773,4,4,8,13,8,1,2,6489000
2446,5,3,9,3,9,1,2,8828000
2468,3,1,1,16,7,1,0,7514000
624,5,2,1,13,10,1,0,2172000
2620,1,2,2,2,5,0,0,8130000
1535,5,4,1,12,6,1,2,5145000
2353,3,3,10,13,4,0,1,8119000
2083,4,1,2,2,4,0,2,6799000
970,3,2,6,15,8,1,0,3570000
2289,2,4,8,16,7,0,0,7567000
1047,2,2,7,3,8,1,0,4091000
1739,4,2,1,5,4,0,2,5637000
1441,4,2,2,19,2,0,0,4403000
1401,2,1,1,14,1,1,1,4383000
624,5,4,7,2,8,1,1,3132000
1500,5,4,1,8,10,1,2,5120000
2125,2,4,5,16,4,1,1,7005000
2787,5,2,1,9,1,0,1,8671000
736,4,3,5,19,10,0,1,2698000
2417,1,3,8,13,5,0,0,7931000
1934,4,1,1,1,3,1,0,6262000
564,4,4,2,4,0,0,2,2292000
929,1,3,8,20,9,1,0,3477000
2918,5,3,4,0,7,1,2,9804000
959,1,1,10,20,0,0,1,3637000
2163,1,3,5,2,3,0,1,7169000
1064,5,1,10,7,10,0,2,4492000
2231,1,1,5,12,5,0,1,7113000
2466,5,2,2,4,10,1,2,8138000
2869,1,1,10,4,4,1,2,9917000
2625,1,1,8,8,4,1,2,8905000
908,5,1,9,13,3,0,2,3804000
2286,1,4,5,2,8,0,2,7648000
2550,5,4,3,14,6,1,0,8190000
2976,2,4,9,16,10,1,2,10038000
946,3,3,7,4,8,0,0,3698000
2781,2,2,7,19,5,0,2,8983000
1298,3,2,3,12,10,1,1,4394000
2102,4,3,2,11,6,0,0,6576000
2690,5,2,4,10,10,0,1,8660000
843,3,4,5,13,10,0,1,3119000
1661,4,1,4,12,3,0,1,5453000
1457,5,3,3,18,7,0,1,4731000
2075,5,3,2,12,1,0,1,6605000
1343,1,2,10,13,2,1,1,5109000
1256,2,2,5,16,1,1,0,4258000
694,1,1,8,17,2,0,2,2782000
1072,1,4,4,9,4,1,2,3916000
563,5,3,8,13,10,0,0,2569000
1074,1,4,1,13,1,0,2,3392000
1996,1,1,3,3,3,0,2,6468000
1034,2,2,3,20,9,1,2,3472000
1300,3,3,8,17,8,0,2,4760000
1877,4,3,2,12,3,1,0,6031000
1327,4,3,4,0,6,1,1,4901000
979,3,1,10,15,3,1,0,3967000
2977,3,3,5,7,4,0,2,9691000
1775,1,4,7,7,1,1,1,6285000
2177,4,2,9,1,2,1,1,7901000
1541,3,1,2,17,9,1,2,4973000
696,5,2,3,15,2,1,2,2708000
2744,4,1,4,3,4,1,1,9032000
752,3,4,9,0,2,1,2,3736000
1553,1,1,1,18,1,1,0,4629000
1663,1,1,9,17,3,1,0,5779000
644,2,1,3,5,8,1,0,2412000
2236,5,2,10,0,9,1,1,8248000
2394,2,1,8,14,0,1,2,8142000
658,1,1,10,4,2,1,1,3204000
1524,1,4,4,13,9,1,1,5112000
2183,1,4,5,2,0,0,0,7179000
2165,1,2,7,6,10,0,0,7185000
2813,2,2,2,20,5,0,2,8559000
698,2,2,3,12,3,0,0,2314000
2665,1,4,5,19,0,0,1,8365000
2889,1,4,10,14,0,1,2,9867000
1553,2,2,10,19,1,0,0,5439000
1871,5,4,2,13,7,0,0,5923000
2566,4,4,3,12,6,0,1,8158000
2516,2,1,4,15,5,0,1,7858000
2075,2,3,3,20,8,1,0,6465000
543,1,1,2,5,9,0,1,1889000
603,4,3,8,9,0,1,2,3029000
2629,5,1,4,17,9,0,1,8307000
742,3,3,2,2,9,1,1,2856000
2568,2,3,5,15,3,1,0,8244000
664,4,4,2,11,10,0,2,2452000
2942,2,3,8,4,1,0,0,9736000
548,1,4,1,20,1,1,0,1664000
1647,2,4,8,6,5,1,0,5991000
1194,4,1,5,0,5,0,0,4312000
1066,4,2,8,13,7,0,1,4078000
1652,4,1,4,7,4,1,0,5596000
1756,5,3,2,19,3,1,2,5738000
2723,4,4,2,2,3,1,0,8799000
768,4,4,3,20,0,0,1,2604000
2469,5,2,7,13,6,0,1,8237000
2400,1,2,5,12,7,1,2,7880000
2122,5,2,6,12,3,1,0,7186000
997,3,4,4,16,7,1,0,3491000
2735,3,1,3,5,1,1,1,8815000
1898,4,3,10,1,8,0,1,7044000
1360,1,1,3,20,10,1,0,4210000
888,1,2,8,4,4,0,1,3574000
2903,2,1,1,0,9,0,0,8939000
679,5,1,2,4,2,1,2,2747000
1923,4,4,5,10,1,1,1,6619000
2282,3,2,6,13,2,0,2,7556000
1584,1,1,7,1,2,1,2,5822000
1880,2,2,7,9,5,1,0,6470000
1027,5,4,1,19,4,0,0,3171000
2813,5,4,2,18,0,0,2,8809000
1790,4,2,3,4,5,1,0,6000000
868,1,3,1,0,0,1,0,2994000
2191,1,2,6,16,7,0,2,7123000
546,1,2,6,9,4,1,0,2318000
2644,4,3,10,1,8,0,0,9202000
893,1,2,3,15,5,1,0,2939000
1054,5,4,8,8,1,0,2,4332000
1322,2,3,7,6,2,1,0,4886000
731,1,2,1,0,8,1,2,2713000
2185,5,2,2,3,10,1,1,7235000
2418,2,4,9,10,8,0,0,8174000
2356,5,2,9,13,10,0,0,8018000
1508,5,1,1,19,2,1,0,4674000
2531,3,3,4,18,2,1,2,8183000
1493,1,2,3,12,8,0,0,4649000
1398,4,4,8,3,9,1,1,5484000
1620,1,2,8,19,3,1,1,5620000
1358,3,1,8,11,5,0,0,4834000
2656,2,2,10,4,8,0,1,9128000
634,2,3,4,5,0,0,2,2552000
1128,2,3,2,2,7,1,0,3884000
2883,1,2,5,18,3,1,0,9049000
2499,3,2,3,2,8,1,1,8197000
2977,1,4,10,4,5,0,0,10021000
2606,1,2,10,9,6,0,1,8828000
1089,1,2,2,13,4,1,2,3627000
691,5,3,8,6,3,1,2,3403000
1932,2,4,10,4,7,1,2,7246000
1492,4,1,3,16,0,0,0,4686000
2968,4,3,6,8,2,0,2,9794000
2961,3,2,7,9,9,1,0,9763000
2257,4,3,8,1,1,0,1,7921000
2304,3,1,4,1,2,1,1,7702000
569,3,4,1,2,2,1,0,2187000
2293,3,4,7,0,6,0,2,8009000
2167,3,4,6,10,6,1,0,7321000
1297,2,3,7,5,9,0,2,4841000
1262,5,2,2,15,8,1,2,4306000
1980,2,2,5,6,6,1,0,6630000
1753,1,1,7,7,6,1,1,6129000
954,3,4,3,6,0,0,2,3472000
2813,5,2,8,1,10,0,1,9609000
631,1,1,9,19,2,0,2,2653000
710,5,4,9,10,2,0,0,3200000
2981,1,2,6,2,9,0,0,9613000
2146,4,3,5,17,6,0,0,6888000
2709,5,3,8,13,9,0,2,9167000
2695,1,3,5,12,4,0,0,8485000
2527,1,1,7,19,4,0,2,8141000
2510,3,1,10,8,4,1,1,8780000
1450,3,3,5,11,5,0,1,4950000
2886,2,1,8,9,5,0,0,9408000
2280,3,2,6,0,2,0,2,7810000
1599,2,1,3,16,3,1,0,5057000
2546,3,2,7,10,1,0,1,8428000
1150,5,2,1,3,1,1,2,4110000
1671,2,4,9,9,4,0,1,6033000
2069,2,1,3,4,4,1,1,6787000
2752,3,3,10,1,9,0,0,9476000
2688,3,3,7,17,9,1,0,8814000
1242,2,2,10,16,4,1,0,4716000
2869,2,1,2,11,8,0,1,8797000
1161,5,4,8,2,2,0,1,4693000
1157,4,3,8,5,8,1,0,4611000
2494,2,3,7,18,1,0,1,8092000
940,4,2,4,15,1,1,1,3410000
1696,3,4,8,10,5,1,1,6188000
2263,5,1,8,20,5,1,1,7699000
895,5,1,2,7,10,1,2,3335000
1995,4,3,5,15,8,0,2,6635000
2752,1,1,6,0,3,1,2,9246000
2247,3,4,7,7,4,0,0,7571000
2974,4,1,5,7,4,0,2,9672000
2073,1,4,1,13,8,0,1,6309000
2565,5,3,4,7,0,0,0,8295000
1699,4,4,7,1,8,0,0,6097000
1765,5,3,2,2,5,1,0,5945000
2664,4,2,4,10,10,0,2,8612000
1767,5,3,2,1,6,1,0,5971000
2426,5,4,9,11,10,0,2,8488000
2415,1,1,5,13,8,0,1,7645000
2043,3,4,2,12,4,1,1,6589000
2968,4,1,10,20,7,0,2,9894000
1429,1,2,3,17,3,1,2,4667000
1536,5,3,9,7,9,1,0,5858000
2461,4,3,8,8,0,1,0,8463000
892,4,2,6,18,9,0,1,3256000
871,1,1,1,4,1,0,2,2873000
699,4,2,6,15,5,1,1,2887000
2558,2,2,10,5,2,0,0,8734000
2981,4,1,1,6,10,0,0,9153000
2020,1,2,1,7,4,0,0,6130000
792,2,2,8,14,9,1,1,3286000
2103,4,2,10,20,1,0,1,7249000
1196,5,2,1,3,6,0,1,4018000
537,2,4,7,16,4,1,1,2441000
1089,4,2,7,15,8,0,2,4087000
504,1,1,6,7,6,1,1,2282000
1947,1,2,10,4,9,1,1,7101000
1230,2,2,1,12,1,1,2,4020000
1689,2,4,1,14,6,1,1,5337000
2233,4,2,6,8,0,0,2,7559000
1304,2,2,9,5,9,0,0,4872000
2462,4,3,7,9,7,1,2,8506000
2598,1,4,5,20,10,0,1,8144000
2415,1,3,7,14,9,0,1,7885000
2494,2,2,9,0,9,0,1,8622000
2501,1,2,5,19,4,1,2,8043000
913,2,3,3,9,1,0,2,3209000
1553,1,4,6,10,3,0,0,5229000
1380,5,2,5,18,2,1,1,4820000
1286,4,3,2,11,4,0,0,4128000
975,3,4,6,2,6,0,1,3835000
1103,2,1,2,4,4,1,1,3789000
954,1,3,7,14,3,1,2,3732000
1676,5,1,5,14,7,0,0,5528000
1539,3,4,9,8,6,1,2,5937000
1059,4,4,6,2,8,0,2,4217000
2671,5,1,8,19,8,1,2,9023000
1713,5,2,9,0,9,1,2,6659000
1597,1,4,5,0,6,1,1,5691000
1612,5,1,4,16,8,0,0,5196000
2396,2,4,6,11,5,0,2,7948000
2545,1,1,1,13,9,0,1,7635000
2165,4,2,1,12,5,0,2,6775000
1080,3,2,2,7,9,1,2,3820000
1695,2,1,1,12,8,0,2,5235000
2483,5,4,10,1,6,0,1,8879000
889,1,4,10,7,1,1,0,3847000
2416,4,4,4,2,10,1,0,8078000
571,5,1,3,19,7,0,2,2073000
544,4,2,2,20,10,0,1,1772000
2126,2,3,9,15,8,0,2,7328000
1441,1,2,4,15,0,0,1,4613000
2126,2,3,5,1,4,0,0,7048000
2302,3,3,3,10,7,1,0,7396000
1452,2,2,6,11,7,0,0,4896000
1106,1,1,7,14,2,1,1,4048000
991,1,4,8,3,6,1,2,4193000
817,5,2,7,13,1,1,2,3511000
2365,2,4,8,11,5,0,1,7975000
2961,5,1,7,5,6,1,2,10073000
1638,2,1,5,9,7,1,0,5514000
1238,3,4,9,8,7,1,0,4874000
824,5,3,6,19,2,0,0,3032000
1955,3,1,10,6,5,0,2,7085000
1836,5,4,1,2,5,1,2,6248000
1343,5,3,6,1,7,0,0,4949000
515,4,1,4,0,5,0,2,2335000
1446,4,3,6,15,5,1,0,5078000
2205,1,4,3,18,8,0,1,6805000
846,3,1,4,18,6,1,1,2988000
598,4,2,4,16,4,1,0,2284000
1426,3,3,6,13,9,1,0,5008000
1029,1,4,10,7,9,0,2,4277000
2397,1,1,9,16,6,0,1,7931000
2871,4,1,6,4,6,0,1,9443000
2349,1,3,5,6,7,0,1,7647000
2137,5,3,4,2,7,0,0,7111000
1596,4,4,3,12,1,1,2,5478000
1874,3,3,2,2,1,1,2,6332000
2934,3,4,8,6,3,1,1,9982000
1963,2,4,1,2,9,0,2,6329000
2580,3,4,10,7,6,1,1,9100000
904,1,1,3,5,5,1,2,3302000
1479,5,3,7,14,5,0,0,5197000
1384,5,4,10,7,9,1,0,5532000
1697,2,1,8,15,9,1,2,6031000
1585,5,2,1,10,2,0,0,4965000
2822,4,4,2,18,2,0,0,8626000
2240,5,2,7,11,6,0,1,7590000
1805,1,3,10,11,9,0,1,6415000
1203,1,3,9,2,10,0,1,4689000
2453,5,4,5,4,2,0,0,8149000
2168,4,2,9,16,7,0,1,7424000
867,4,4,1,19,0,1,1,2871000
2640,5,4,8,17,0,1,0,8900000
2158,1,4,8,3,3,0,0,7384000
1726,1,1,3,7,4,0,0,5418000
711,5,3,8,9,4,1,0,3243000
2966,5,1,8,10,5,0,2,9938000
2854,2,4,7,7,6,1,2,9652000
1717,4,2,1,13,8,0,0,5251000
2091,2,2,2,20,5,1,0,6383000
1005,4,3,10,6,1,0,1,4265000
2772,5,1,9,4,7,1,0,9566000
2470,3,4,4,16,7,1,0,7910000
1880,3,4,6,3,9,1,1,6680000
811,1,3,10,19,0,1,1,3423000
2668,2,1,8,14,3,1,0,8804000
2375,3,1,6,11,3,1,0,7835000
1546,3,4,4,11,3,0,0,5088000
2963,4,3,4,3,5,1,2,9829000
1614,4,3,7,18,2,0,2,5632000
2205,2,2,4,12,6,1,1,7165000
1800,4,2,2,0,4,1,2,6170000
2010,1,1,8,3,0,1,1,7080000
868,4,4,8,1,9,0,0,3704000
594,5,2,4,6,1,1,1,2602000
1673,5,2,5,12,4,0,0,5589000
854,1,1,9,20,10,1,0,3292000
2901,2,1,4,7,8,0,2,9253000
1687,4,3,7,6,7,0,1,6011000
572,2,2,10,10,8,0,0,2676000
2605,1,3,7,20,10,1,0,8405000
2811,2,4,9,1,9,0,0,9533000
2141,5,4,2,16,6,0,0,6673000
1143,3,2,10,6,1,0,1,4599000
544,2,3,10,5,3,1,0,2872000
1255,2,1,6,7,10,1,2,4665000
1607,4,1,9,2,10,0,0,5911000
2429,2,4,10,10,2,0,0,8307000
1528,1,1,6,2,10,0,1,5304000
1112,4,2,10,8,2,0,2,4596000
2723,5,4,5,3,7,1,0,9129000
1064,3,3,9,0,3,1,0,4482000
2397,2,2,2,13,9,1,1,7521000
1867,4,3,9,8,8,1,0,6781000
1496,5,1,8,1,4,1,1,5778000
2419,3,4,3,9,9,1,0,7797000
1582,5,2,4,17,0,1,1,5346000
2870,2,4,1,17,7,0,1,8670000
2692,5,3,1,3,2,1,1,8686000
745,3,3,1,10,2,1,2,2685000
1434,2,3,1,6,10,1,2,4782000
2773,5,3,8,6,3,1,0,9489000
2579,1,3,5,4,8,0,2,8457000
2045,1,4,3,9,2,0,0,6425000
2229,1,1,6,7,6,1,0,7377000
1253,3,1,6,1,8,1,2,4829000
1450,3,2,10,10,2,1,1,5590000
615,5,2,6,14,9,1,1,2705000
2865,5,2,8,20,2,0,0,9305000
559,2,2,1,7,0,1,1,2027000
1275,3,4,3,6,0,1,1,4505000
628,5,3,6,18,4,1,0,2614000
2073,4,3,2,13,0,0,0,6449000
2530,3,3,5,20,10,0,2,8090000
1889,2,2,9,14,1,1,0,6597000
2207,1,2,2,20,0,1,2,6841000
2040,2,4,9,12,9,1,1,7230000
2571,5,2,6,2,0,0,0,8583000
1601,5,2,2,0,8,1,1,5543000
970,1,2,7,8,0,0,0,3560000
1578,1,1,9,17,0,1,1,5604000
1828,1,4,6,7,6,1,2,6424000
2947,4,3,1,20,10,1,0,8981000
1377,3,1,5,17,0,1,2,4781000
1100,2,2,4,8,1,0,0,3700000
1297,5,4,10,16,10,0,1,5021000
945,1,2,7,18,6,0,0,3285000
1879,5,4,4,3,0,1,1,6577000
2974,1,1,8,16,4,1,1,9712000
2949,5,2,6,3,7,1,0,9847000
1356,4,1,7,14,9,1,1,4948000
2004,1,2,6,3,3,0,2,6822000
1455,5,2,6,8,4,0,0,5115000
2034,4,2,1,14,0,1,2,6492000
1470,2,2,5,2,6,1,1,5260000
842,5,4,10,7,10,1,2,4066000
1231,3,2,1,6,1,1,1,4113000
956,4,2,2,12,7,0,1,3168000
1084,2,2,4,11,0,0,1,3672000
623,4,3,6,6,10,1,1,2869000
828,4,1,10,20,3,1,2,3624000
1661,4,3,2,14,1,1,2,5503000
968,1,2,2,7,0,0,2,3234000
2135,2,4,4,2,8,0,0,6985000
1542,5,2,4,7,0,1,2,5506000
2366,5,2,1,14,9,0,0,7228000
2539,3,1,8,9,9,0,1,8497000
720,1,4,7,4,0,1,0,3100000
602,5,3,3,8,1,1,1,2516000
1106,1,4,4,11,6,0,1,3748000
856,3,4,9,2,9,1,1,3928000
2978,4,3,1,20,5,1,0,9074000
2824,2,2,6,4,7,0,0,9152000
699,1,1,10,19,9,0,2,2957000
883,3,3,2,8,4,0,2,3089000
1087,4,1,2,19,8,0,1,3391000
2920,5,4,6,19,10,1,0,9500000
2594,2,2,2,6,4,1,1,8252000
1654,4,4,3,17,2,0,2,5402000
1232,4,1,10,13,1,0,1,4746000
2119,2,2,9,4,8,1,0,7487000
1925,4,2,3,9,9,1,0,6305000
873,1,4,6,14,10,1,0,3259000
1022,3,3,4,6,8,0,1,3666000
2426,5,4,6,11,10,0,0,8028000
2753,3,4,5,10,10,0,0,8829000
870,2,4,1,16,8,0,1,2690000
1677,4,4,10,17,6,1,2,6321000
2214,3,3,1,15,7,1,1,6912000
2023,5,1,4,1,8,1,0,6879000
2063,1,4,7,16,7,0,0,6739000
2810,2,4,1,4,4,1,2,8980000
2099,1,4,4,7,10,0,2,6887000
676,5,4,1,5,3,0,1,2478000
1935,2,1,1,7,1,0,2,6055000
2604,2,3,10,5,8,0,1,8982000
2521,5,2,3,6,0,1,0,8203000
1022,3,3,9,2,7,0,0,4166000
1769,4,3,4,5,7,1,0,6047000
1009,4,4,8,10,3,1,1,4177000
2037,2,4,7,11,10,1,1,7041000
1859,2,3,5,19,7,0,1,5967000
2621,1,1,5,5,6,0,2,8503000
1846,3,1,10,12,3,1,1,6708000
2439,3,2,7,0,6,1,0,8377000
2476,2,4,8,18,10,0,2,8248000
759,5,2,10,10,5,1,1,3617000
1725,5,1,9,20,1,0,0,5955000
1438,2,3,5,2,1,1,2,5274000
1655,2,2,9,19,5,1,1,5875000
1288,4,2,10,19,4,0,2,4904000
2970,3,1,6,13,1,0,1,9510000
1790,1,2,3,7,1,1,0,5790000
1356,1,3,9,8,10,1,1,5178000
2241,3,3,1,2,7,1,2,7333000
1971,3,2,7,6,9,1,1,6933000
2153,2,1,6,6,7,0,2,7229000
2881,1,2,9,2,6,0,1,9693000
2555,2,4,5,20,8,1,1,8215000
744,3,1,4,18,8,0,1,2532000
1269,5,3,3,3,7,1,0,4537000
2654,3,1,3,11,2,0,1,8302000
2428,5,1,10,15,3,1,1,8494000
1329,5,3,9,3,7,0,2,5327000
1769,5,3,6,10,8,0,1,6127000
790,4,2,1,13,5,0,1,2550000
1003,4,1,4,11,1,0,1,3499000
2741,5,3,6,2,7,1,0,9273000
2778,1,4,1,12,4,1,0,8514000
2000,5,3,1,10,2,1,0,6390000
1820,1,3,2,20,10,0,2,5560000
2792,4,1,1,6,9,1,2,8896000
2572,4,3,7,9,6,1,2,8836000
1791,1,3,9,11,5,0,2,6353000
2844,1,2,7,13,9,0,1,9162000
2113,5,3,1,8,5,0,1,6699000
2644,5,3,1,15,9,1,1,8302000
1023,2,2,5,11,5,0,1,3589000
2705,2,3,9,9,0,0,2,9185000
2039,3,1,10,18,1,0,2,7097000
2505,5,2,9,4,2,1,1,8875000
1282,5,2,10,14,6,1,2,5186000
1105,1,1,7,13,3,1,2,4145000
834,4,3,6,4,8,0,0,3312000
2026,1,3,7,0,6,1,0,7068000
2326,1,3,7,11,9,1,0,7748000
1328,3,3,10,18,10,1,2,5174000
1986,1,3,1,18,6,1,2,6148000
669,3,1,5,15,5,1,0,2537000
2800,2,2,7,1,10,0,1,9320000
1677,2,1,5,11,9,0,2,5601000
1699,3,4,1,8,4,1,0,5457000
1851,1,4,6,12,5,1,2,6393000
632,4,3,8,1,5,1,2,3276000
679,2,3,3,17,5,1,1,2417000
2447,1,4,3,7,6,1,0,7821000
1441,5,1,2,20,8,1,0,4553000
2347,1,2,10,12,8,0,2,8071000
1561,3,2,2,12,8,1,0,5003000
1804,4,4,3,10,7,0,0,5832000
695,5,1,4,1,3,0,2,2905000
1497,2,3,7,8,8,0,1,5301000
2057,3,3,9,14,5,1,0,7181000
1230,3,4,3,20,4,1,2,4170000
685,5,3,8,16,0,0,2,3035000
