area,bedrooms,bathrooms,location_score,age_of_house,floor,near_metro,parking,price
2892,5,1,10,12,7,0,1,12290781
2097,4,2,8,7,4,1,1,10152945
1876,5,4,3,14,2,0,1,9485784
611,1,1,3,14,2,0,1,3683996
1366,3,2,6,12,4,1,1,7837481
2426,3,3,9,1,5,0,2,11048834
664,1,1,4,0,9,0,0,4208451
968,1,1,5,11,2,0,0,4858529
942,1,1,10,12,6,0,0,5686867
1494,2,2,10,3,9,0,1,8299165
2017,3,3,6,0,6,1,0,9638656
1983,5,4,3,13,2,1,2,10483295
2704,4,4,7,18,4,1,0,11943897
854,2,2,4,14,9,1,1,5609229
1831,3,2,4,11,4,1,1,8650834
1631,4,1,9,6,1,0,2,8967249
2774,3,3,8,20,7,1,0,11141198
1407,3,3,4,9,10,1,1,7993113
1908,4,3,6,14,4,1,1,9578387
1288,3,1,9,5,3,0,2,7805029
2914,5,3,2,6,4,0,1,11516016
557,1,1,1,1,8,1,0,3817938
2510,3,1,10,9,7,1,1,10936198
710,2,2,2,2,6,1,0,5033309
719,1,1,10,9,1,0,0,5090337
2204,5,2,9,12,7,1,1,11436916
2256,4,1,10,3,3,0,1,10649141
1143,2,1,9,2,2,0,1,6796339
2932,4,3,1,7,4,1,2,11902022
791,1,1,10,6,6,0,0,5488618
1588,2,1,1,5,4,1,1,6639116
1745,4,4,5,16,8,1,1,9288962
663,2,2,10,8,0,0,0,5822641
2856,5,1,5,18,0,0,1,11114929
2311,4,2,10,13,10,1,0,11004874
2172,4,3,2,5,5,1,2,10120507
2140,5,1,8,2,5,1,1,10593579
2155,5,1,9,14,6,0,0,10151350
2541,5,4,1,6,4,0,1,10894586
2485,3,1,10,7,2,1,2,10868141
2171,3,1,2,14,1,0,1,8321606
1695,4,3,7,15,7,0,1,9101269
2071,3,3,9,4,1,1,1,10282413
2579,4,1,5,9,9,1,0,10511432
2483,4,3,9,17,6,1,1,11818646
1478,4,4,4,13,0,1,2,8780321
2061,4,2,8,1,2,1,0,10351514
2303,3,3,8,0,2,1,2,11378430
806,2,2,6,19,6,0,1,5535226
2685,4,3,8,17,0,0,0,11232181
1677,2,1,7,3,10,0,1,7777851
1726,2,1,6,1,4,1,1,8069338
1500,4,4,10,5,2,0,0,9376050
2066,5,2,8,18,2,0,1,10168030
2382,4,1,8,9,10,0,0,10251844
1915,5,3,7,8,7,1,0,10588951
2479,3,1,7,18,5,1,2,10278278
2121,4,1,10,1,9,1,1,10939167
1442,4,3,4,20,3,1,2,8411938
1060,4,1,1,9,7,0,1,6093986
869,2,2,7,5,3,0,1,6054926
1616,2,2,8,9,5,0,1,8152825
1076,2,2,9,11,1,1,0,6722288
1006,3,2,5,18,6,1,0,6369599
2431,3,3,9,10,9,0,2,10935252
2401,5,3,7,3,2,0,0,11038359
2517,3,1,4,17,2,1,1,9573655
2712,4,2,7,20,1,1,2,11490766
1645,2,2,4,14,7,0,1,7097907
2004,5,3,1,12,4,0,0,9140298
2362,3,3,4,20,10,0,0,9523432
1497,2,1,2,17,3,0,0,5753059
1104,4,1,5,4,2,1,0,6814058
605,1,1,6,7,9,1,0,4605742
714,1,1,9,3,1,1,1,5711911
2602,5,1,8,16,3,0,2,11571378
2635,4,4,1,1,7,1,1,11358717
2508,5,4,2,2,5,0,0,10700396
2897,5,3,7,19,8,1,1,12691321
2262,3,3,2,20,10,0,1,9016906
1435,3,2,8,12,6,0,1,7904948
1544,3,1,8,2,1,0,0,7744132
2026,3,3,1,18,8,1,2,8724437
1948,5,4,1,9,9,1,1,9708880
2578,3,1,8,7,1,1,2,10904510
1641,4,2,7,17,9,0,2,9089308
1595,2,1,5,9,5,1,0,7063657
1086,4,4,2,4,10,0,0,7203971
1381,3,2,8,10,2,1,1,8194195
2824,5,1,1,4,2,0,2,10728357
2314,5,4,8,19,7,1,1,11576588
2598,3,2,7,3,4,1,2,11414798
686,1,1,10,1,0,0,1,5542114
1062,3,2,6,3,0,1,1,6988611
2057,5,2,9,17,10,1,0,10527342
673,2,1,8,2,5,1,1,5992318
2210,4,1,7,0,5,0,2,10268472
1982,3,2,2,7,6,1,2,8704471
1770,4,3,4,10,2,0,2,9027737
2673,5,2,6,11,10,0,0,11095384
1548,2,1,10,4,10,0,0,8042675
2523,4,4,10,20,10,1,2,12340699
2301,3,2,8,20,4,1,2,10132444
2578,3,2,8,14,0,0,1,10650962
814,1,1,8,18,8,0,1,5248799
2841,5,2,6,19,7,0,0,11420079
1906,5,1,9,20,2,0,0,9390885
2299,5,2,6,11,4,1,1,11021807
2948,3,3,6,2,5,0,2,12087051
1663,3,3,10,4,5,0,2,9644457
1932,4,4,3,19,1,1,2,9517750
1845,3,3,9,2,10,1,2,10276510
1985,4,2,4,10,7,0,0,9029214
1134,2,2,2,16,8,0,1,5737584
1036,4,4,3,5,2,0,1,7037098
1992,5,2,8,19,4,1,0,10062883
1767,3,1,6,18,7,1,1,8411163
2559,5,4,3,6,9,0,1,11200076
2468,4,1,9,3,4,0,0,10547005
2602,3,2,2,7,7,1,0,9862654
2123,5,3,4,12,1,1,0,9803346
905,2,1,3,1,4,1,0,5406071
2421,4,1,2,0,4,0,0,9393265
2993,5,4,2,9,3,1,0,11917481
2219,5,4,2,3,7,0,2,10743853
1490,4,2,5,13,0,1,0,7928915
1267,4,1,9,11,1,0,1,7905667
678,2,2,5,0,5,0,1,5332276
924,2,1,1,11,8,1,0,4953091
2403,5,4,3,4,1,1,0,10918261
679,1,1,6,9,8,1,1,4972502
1282,3,2,1,20,5,1,0,6274323
2289,4,4,7,10,2,1,2,11402188
2626,4,1,7,2,6,0,2,11146266
920,1,1,5,9,7,1,0,5206940
1939,4,1,6,19,6,1,2,9583219
734,1,1,6,16,10,0,0,4362269
2988,5,4,1,4,1,0,2,12144486
2068,5,1,10,4,10,1,1,10992403
814,1,1,7,10,10,1,0,5435950
606,1,1,9,12,8,0,1,5042789
2327,3,3,5,15,3,0,0,9601242
2351,3,3,8,2,10,1,2,11295567
765,2,2,3,20,2,1,0,4685582
1323,2,1,8,0,5,1,1,7654683
2759,3,3,2,2,4,1,2,11253418
2653,4,4,10,2,2,1,2,12740042
2408,5,3,3,17,10,0,0,10259518
726,1,1,5,5,2,1,0,4631467
2625,4,1,5,6,10,1,0,10817199
2685,3,3,3,18,9,0,0,10088437
2978,4,1,1,2,0,1,2,11064860
2843,4,1,8,20,8,1,2,12185208
2478,3,3,7,9,7,0,2,10667195
2300,4,4,8,6,5,0,1,11387160
1807,5,3,7,4,5,0,1,9892388
1001,3,2,4,4,1,0,1,6386524
2212,3,1,6,18,5,0,0,8713045
2608,4,4,5,15,0,0,1,11037203
1486,2,2,1,1,4,1,2,7308495
2427,4,1,2,13,2,1,2,9793630
2151,4,1,7,1,9,0,1,9998938
801,2,2,9,8,9,0,0,6211525
2113,4,3,9,11,2,0,2,10671065
2548,3,1,1,4,5,1,2,9799081
2983,5,2,6,19,5,0,1,12283304
1725,4,3,9,16,8,1,2,10141808
2445,3,2,6,3,6,1,2,11024361
609,2,2,10,18,3,0,1,5543741
2057,3,3,4,1,9,0,0,8887753
1784,3,1,7,6,6,1,2,9144403
1065,4,2,9,10,10,1,1,8099863
1209,3,3,6,17,5,1,2,7775445
1509,3,3,5,7,4,1,2,8421512
2502,4,4,6,17,4,1,0,11150615
2724,4,4,6,4,4,0,1,12137774
823,2,2,5,15,3,0,1,5440496
1612,2,1,10,18,3,0,0,7557435
2675,3,3,4,1,1,1,1,11109438
911,1,1,9,5,6,1,1,6227926
1676,3,2,1,2,10,0,2,7946113
652,1,1,3,1,6,1,0,4424321
1685,2,1,5,18,9,0,1,7091777
2725,5,4,3,16,7,1,0,11834961
1854,3,3,8,20,4,0,0,8842997
1708,4,2,3,19,10,1,1,8420628
855,2,1,3,4,7,1,0,5088357
2071,3,2,5,10,4,0,1,8988945
1467,2,1,8,9,2,1,2,7836787
1773,4,1,5,11,9,0,0,8392836
2458,3,2,10,11,6,1,2,11545947
1394,2,1,9,14,8,1,0,7519262
959,1,1,10,17,2,0,1,5828099
2309,3,3,4,18,7,0,2,9710060
727,2,1,9,13,7,0,1,5713734
1762,4,1,7,8,0,0,2,8699038
2235,4,1,9,1,1,1,0,10322926
1237,2,2,6,12,7,1,1,6876388
2708,3,3,6,3,2,1,2,11437052
1412,2,1,5,14,10,1,2,7195106
1440,2,2,6,4,4,0,2,7636036
631,2,1,4,6,1,0,0,4297860
699,1,1,7,14,3,0,0,4333204
1684,2,2,10,19,10,1,0,8382681
1086,4,2,7,9,4,0,0,7186388
2249,5,4,1,11,10,1,2,10754240
2205,4,2,5,12,2,1,0,9861290
1731,4,2,8,1,8,1,1,9797382
1049,3,1,5,6,5,0,1,6401818
878,1,1,5,12,10,0,0,4633807
2906,5,2,8,6,5,1,0,12407992
1278,4,1,8,7,9,0,1,8071324
2761,4,3,7,14,8,1,1,11892904
2600,4,4,2,15,5,0,1,10500849
687,1,1,1,8,8,1,1,4106175
1851,3,2,10,7,7,1,1,9921346
2501,5,4,8,5,5,0,0,12023402
2500,3,3,1,16,0,0,2,9314868
526,2,1,4,2,2,0,0,4183598
2028,3,3,10,15,10,1,0,9891999
2759,4,1,1,16,4,1,0,9952702
2263,3,1,2,16,2,0,0,8139658
1533,3,2,7,2,5,1,1,8592034
1425,3,3,2,20,10,0,0,6747890
2044,5,4,1,20,0,0,0,9035537
2277,5,3,10,3,8,0,0,11373291
2821,4,3,1,2,10,1,2,11737554
634,1,1,1,6,9,0,1,3857584
1725,2,1,10,12,10,1,1,8801062
1073,4,1,9,11,0,0,1,7172832
811,2,2,6,0,10,1,1,6373405
1957,5,4,7,5,10,1,0,11029883
1709,2,1,2,8,2,1,2,7466094
1131,4,4,6,11,1,0,0,7711493
2321,4,3,2,4,1,0,1,9780320
2772,5,4,2,0,1,1,2,12086766
2949,4,4,1,9,6,1,0,11662251
2791,3,3,9,5,10,1,0,11825921
1733,3,2,3,2,2,1,1,8216658
2483,3,2,5,7,10,1,2,10796817
2375,3,1,5,0,6,1,2,10188444
1849,4,3,7,20,9,0,1,9288559
1322,3,2,3,12,5,1,2,7409328
2511,5,2,6,12,4,1,1,11137158
2809,3,3,9,5,10,0,2,12213120
1358,3,2,2,13,10,1,0,6889828
1491,3,3,3,13,6,0,1,7626024
2462,5,4,9,16,6,0,1,12099566
2699,5,1,2,7,10,1,0,10892072
681,2,2,7,3,0,0,1,5491986
2624,5,2,8,11,6,1,2,12367138
2549,3,2,1,15,1,1,1,9697309
851,1,1,6,9,5,1,0,5127807
1926,4,1,8,14,5,0,1,8978242
971,1,1,2,5,3,0,0,4353299
2246,4,2,7,20,2,0,2,10179843
2120,3,3,10,6,7,1,1,10496320
1379,2,2,2,18,1,0,1,5942443
2374,3,2,8,16,10,1,2,10727535
2107,5,1,6,11,7,0,2,10190688
1718,4,1,3,10,1,0,1,7639037
2029,5,2,9,12,6,0,2,10627446
1260,3,3,9,20,2,0,1,7612765
1266,3,2,10,1,5,0,1,7990499
2072,5,4,7,15,6,1,1,10873828
2815,3,1,5,1,4,0,2,10766027
2373,5,4,9,16,1,0,1,11800318
2002,5,1,8,17,3,1,0,9910373
1513,3,1,8,8,5,0,1,8040420
980,1,1,10,11,9,1,0,6238018
1346,2,1,10,11,8,1,2,8020917
1825,5,3,5,18,4,0,0,9290098
2185,3,2,3,4,3,0,2,9127085
1513,4,4,8,4,9,1,2,10003115
2351,3,3,2,12,8,1,2,10220620
2011,4,4,6,18,0,0,2,10191445
1967,3,3,7,6,6,0,1,9371078
1661,3,3,10,4,9,1,1,9953775
698,1,1,8,0,1,0,1,5129025
2252,3,3,3,20,4,0,1,8860893
1976,4,1,6,20,2,0,1,8777178
1459,3,3,2,3,0,0,1,7132831
2931,3,3,8,0,0,1,0,12369108
2229,5,2,8,2,3,1,0,11141688
919,1,1,6,9,2,1,0,5247484
1085,2,1,10,20,2,1,1,6829115
1120,3,3,8,6,1,0,0,7344549
2914,5,4,6,13,5,0,0,12186172
845,1,1,1,9,3,0,1,4016516
723,1,1,7,3,3,1,0,5102406
549,2,2,3,12,9,1,1,4893916
1207,3,1,1,18,1,0,1,5472894
747,2,2,9,13,6,1,0,6130578
2702,5,2,5,2,4,0,2,12032825
1136,4,3,7,18,10,0,1,7813251
1477,2,1,2,13,1,1,2,6691012
1766,4,2,2,0,2,0,0,8046957
1920,5,3,3,11,2,1,2,10114719
620,2,2,5,16,1,1,0,4862064
2592,4,1,8,18,2,1,0,10579655
921,1,1,9,0,0,0,0,5453720
1990,4,2,3,1,8,1,0,9158664
2204,5,3,5,2,9,1,0,10865708
715,1,1,9,1,6,0,1,5560945
1772,3,1,9,14,0,1,0,8433991
1744,4,2,8,11,9,1,0,9433993
2738,3,1,1,13,0,0,2,9502667
539,2,1,7,9,1,0,0,4535344
745,1,1,2,1,3,1,1,4538554
847,1,1,7,2,9,0,1,5512210
1035,2,2,5,10,6,1,1,6368921
1456,2,1,3,18,1,0,0,5711912
2408,4,4,2,17,5,0,1,9992499
1585,2,1,3,9,9,0,0,6653914
1842,3,1,4,11,6,0,2,8083669
1212,2,2,8,17,8,0,0,6611230
1072,2,1,1,7,2,0,1,5045363
844,2,1,1,2,3,1,0,4683071
1858,3,1,8,1,2,1,2,9374723
620,2,2,3,11,3,0,1,4527609
1108,2,1,5,15,6,1,0,5762904
2068,3,2,4,20,8,0,2,9051418
2726,3,2,6,15,8,1,1,11224318
2557,4,4,5,5,0,1,2,11596559
1650,2,2,9,11,9,0,0,7869454
1487,3,3,1,7,9,1,1,7815240
1211,2,1,10,10,5,0,2,7354418
2825,5,2,10,6,7,1,0,12798877
869,1,1,10,7,0,1,0,5761714
1325,2,2,3,10,0,0,0,5995852
1080,2,2,2,11,10,1,0,5729791
1821,3,1,7,20,7,1,0,8391436
2801,5,3,4,18,2,1,1,11930368
1706,2,1,1,18,6,0,0,6206009
1404,4,1,8,4,5,0,0,7873825
1808,3,3,2,20,5,1,0,7831175
1522,4,1,6,8,1,0,0,7614127
2218,3,2,8,12,5,1,0,10050765
2867,5,2,3,14,1,0,1,10927145
1569,2,1,6,5,6,0,2,7409726
881,2,2,1,13,10,0,1,4884201
914,2,1,4,13,8,1,1,5531988
892,1,1,10,17,7,0,0,5402940
2251,3,2,10,15,3,0,0,9708040
1695,2,2,2,9,6,1,1,7600151
1585,2,2,3,11,6,1,0,7049835
1578,3,2,5,7,4,0,0,7657572
896,1,1,9,13,9,0,0,5512762
2640,4,4,10,7,7,1,0,12420327
642,1,1,8,5,2,0,0,4568780
2234,3,3,7,6,10,0,2,10344835
774,1,1,9,12,8,1,1,5733238
550,2,1,7,4,2,0,0,4744824
913,2,2,7,8,6,1,1,6350849
1628,3,1,10,19,10,1,0,8438005
1857,5,2,1,15,4,1,0,8492393
1741,3,2,8,3,3,0,1,9027492
2314,4,3,7,19,10,0,0,10258618
2167,5,4,9,11,0,0,0,10891958
2575,4,2,9,18,0,0,0,10951659
1322,2,1,1,14,0,1,2,5961739
2008,4,4,2,0,3,1,1,9900536
1227,3,3,9,11,5,0,1,8013323
870,2,1,7,1,2,0,0,5614067
1346,3,3,7,16,0,0,1,7746578
1209,4,1,4,8,9,1,2,7773989
1627,3,2,6,14,4,0,1,7856304
2632,5,4,10,3,0,1,2,13440090
2994,4,3,2,15,1,1,1,11576411
1634,3,3,5,6,2,0,0,8093338
2957,4,3,3,0,10,1,1,12040209
2214,4,4,1,18,9,0,1,9626421
1410,4,4,6,16,4,0,2,8827097
1241,3,1,8,4,4,0,2,7719613
865,1,1,4,9,6,1,1,5010290
1704,3,1,8,1,10,0,1,8823116
2549,3,3,7,16,4,1,0,10875588
1117,2,1,6,13,9,1,0,6153780
1238,2,2,6,20,2,1,2,6797584
2351,4,2,3,18,2,1,0,9355768
2276,5,4,7,13,7,1,0,11109542
1316,4,3,1,10,8,0,0,7050159
1519,2,2,5,4,1,1,2,7855272
1184,2,1,5,9,7,1,1,6617528
1048,3,2,6,6,2,1,0,6702928
1037,2,1,10,16,2,0,1,6456237
653,2,2,9,19,0,0,0,5252221
580,1,1,7,14,6,0,1,4446301
1127,2,1,5,13,10,0,1,6016515
1061,3,1,9,19,1,1,0,6812028
2538,3,3,4,8,8,0,1,10416083
1709,2,1,9,15,3,1,1,8112461
552,1,1,10,15,2,0,0,4600658
914,2,1,8,9,4,1,0,5937371
1215,2,2,6,10,6,0,0,6508328
687,1,1,3,10,5,1,1,4497325
880,2,2,3,3,6,1,1,5760524
2079,5,4,7,20,2,0,0,10350133
740,1,1,7,18,7,1,0,4888057
1968,5,1,3,15,7,0,1,8836916
759,2,2,1,16,9,0,1,4580970
890,2,1,8,11,10,1,0,6204422
2786,5,1,1,20,2,1,1,10761569
806,2,2,4,10,4,0,0,5017035
2050,4,2,2,14,7,1,0,9012879
2331,4,1,8,20,0,0,1,9841076
2782,5,1,2,19,9,1,2,11221665
2368,4,3,1,7,7,1,2,10552433
2957,4,3,8,3,1,0,0,12090133
1695,4,3,2,1,2,1,0,8639829
2176,3,2,10,6,3,0,1,10003099
1280,4,3,2,13,0,0,1,7041965
2913,5,2,8,0,8,0,2,13263741
2896,4,2,10,5,2,0,1,12422475
2982,4,4,7,19,3,1,1,12909253
1704,3,1,3,13,9,1,2,8048793
1785,4,2,4,6,9,1,2,9256838
1043,4,2,9,17,10,1,0,7798574
2803,4,4,9,9,6,0,2,12520889
2060,3,1,1,6,4,0,1,8047117
1099,2,2,4,17,0,1,1,5912697
2801,3,3,9,12,3,1,2,12317884
2062,4,4,6,17,0,0,2,9978181
2314,3,3,6,18,8,0,2,10368846
1704,3,1,2,5,2,0,1,7107515
1643,4,3,3,5,9,1,0,8560061
1134,2,1,6,19,0,1,1,6215407
2753,4,1,6,16,3,0,2,10725514
2569,3,2,9,17,6,0,1,10561294
1373,4,3,6,11,4,0,2,8413009
2799,5,1,2,11,7,0,2,11090292
1498,2,2,7,3,6,1,2,8372928
601,2,2,8,1,4,0,1,5711365
893,1,1,2,6,10,0,1,4680456
1342,4,4,2,4,0,1,2,8260703
858,1,1,3,8,8,0,0,4438573
2169,4,4,7,13,5,0,1,10606717
2690,3,3,10,2,9,0,2,12393102
1965,5,1,5,9,9,0,1,9540891
2292,4,4,1,15,2,0,0,9471229
2735,4,2,5,20,5,0,2,11194915
1079,2,1,1,18,9,1,0,5044849
1908,3,2,9,4,2,0,0,9152377
1535,2,1,3,18,0,1,2,6840945
1690,4,1,5,3,3,1,1,8594170
1460,2,2,10,2,3,1,1,8408200
1752,4,2,10,18,5,1,1,9519425
1782,2,1,7,8,5,0,2,8256873
2465,4,4,6,9,7,0,0,11025660
835,2,1,9,6,4,0,0,5887200
2577,5,1,10,18,6,0,0,11263782
2726,5,4,3,11,6,0,2,12046256
1691,2,2,9,16,1,1,1,8404310
1478,4,2,9,4,7,0,0,8670873
2817,5,2,8,11,0,0,1,11864504
1582,3,1,1,6,8,1,1,7265767
2362,3,1,6,3,8,1,2,10251035
2729,5,2,7,20,6,1,2,12252825
818,2,2,4,16,6,1,1,5529566
2474,5,1,9,4,7,0,0,10946138
1650,2,1,3,5,5,0,2,7102925
1852,5,1,8,15,7,0,2,9569916
2183,3,1,1,4,9,0,0,8247274
660,1,1,3,8,2,1,0,4151102
1661,2,1,8,19,7,1,0,7568687
2182,5,2,10,5,9,1,0,11463878
1903,4,1,4,12,6,0,0,8038092
2641,5,4,3,19,1,0,1,11351862
2956,3,3,9,3,1,1,2,12528469
2971,5,1,7,16,6,1,0,12159384
2257,3,2,7,11,9,0,1,9646913
2454,3,1,5,19,8,1,1,9612771
529,1,1,7,20,3,1,1,4423924
1133,3,3,10,8,4,1,1,8315458
2127,3,2,9,17,7,0,1,9703386
2481,4,3,10,11,6,0,2,11604101
1441,3,3,3,3,3,1,1,7966461
713,1,1,1,2,2,1,1,4153862
1577,2,2,2,19,0,1,1,6808376
2634,4,1,3,20,7,1,0,9837654
2622,4,2,1,19,8,0,2,9930926
647,2,1,1,5,1,1,1,4400248
2118,4,2,9,0,1,0,2,10513678
2790,5,3,6,8,3,0,1,12309924
2854,3,2,3,13,8,0,2,10485515
1705,3,1,9,8,8,1,2,9185640
2044,5,4,4,10,7,1,2,11047008
2474,3,2,2,12,10,0,2,9795146
1793,3,2,9,17,0,1,0,8704627
2134,5,3,2,17,2,1,1,9784420
2849,4,2,4,15,3,0,2,11013699
1587,2,1,4,7,9,1,0,7228224
991,1,1,10,0,8,0,1,6337322
1791,3,3,5,15,2,1,1,8602186
2862,3,1,9,13,7,0,2,11401077
1215,3,1,9,14,5,0,0,7021596
2054,5,1,6,11,9,1,0,9883540
1471,3,2,10,10,5,0,1,8373436
2216,5,3,6,12,4,1,0,10736598
2858,5,2,2,8,3,1,1,11368765
1112,3,1,3,13,7,0,1,6043812
1728,3,3,10,1,6,0,2,9656864
1382,3,2,2,14,5,1,1,6952895
2783,4,3,1,13,1,1,2,11366442
1314,4,2,5,11,5,1,2,8131965
821,2,2,8,20,2,0,1,5688078
2841,4,1,2,5,5,0,1,10432002
1693,4,3,10,20,6,1,1,9951062
1987,5,4,7,5,2,0,0,10522284
1530,4,1,4,5,6,0,0,7353052
2438,5,1,1,12,8,0,0,9368589
1136,2,2,5,7,3,1,1,6668305
1037,4,2,1,1,10,1,1,7019350
2413,5,3,9,14,2,0,2,11818585
2810,4,3,6,15,8,0,0,11316009
1998,4,3,3,9,0,0,2,9457012
1058,3,2,8,17,0,1,1,7033020
2263,4,2,1,17,5,0,1,9132431
2290,4,2,3,20,6,1,0,9324175
2229,5,2,9,19,10,1,1,11277695
2678,4,4,4,2,2,0,1,11175158
2365,5,4,5,19,7,0,1,10712245
703,1,1,2,9,4,0,1,3966737
1453,2,1,1,15,3,1,1,6109098
2541,4,4,1,10,1,0,0,9936029
2107,3,3,8,5,3,1,1,10465797
999,1,1,8,7,0,0,1,5729226
884,1,1,7,9,5,0,0,5093167
2751,5,1,5,15,10,1,0,11198699
713,1,1,4,20,6,1,0,4111659
1630,4,1,7,7,0,0,2,8718851
2446,5,2,6,2,3,0,1,10849131
1886,5,1,1,11,10,0,2,8747270
939,1,1,4,10,8,1,1,5335087
587,2,2,3,8,0,1,1,4863109
2723,5,4,4,18,2,1,1,12043539
1627,4,2,2,16,2,1,1,8041206
2718,4,4,1,20,8,1,2,11076263
576,2,1,6,2,10,1,0,5218673
2537,5,2,10,9,5,1,2,12377665
894,1,1,3,5,0,0,0,4307447
904,1,1,8,16,9,1,0,5497617
2981,5,1,1,6,10,1,0,11316299
748,2,2,6,1,9,1,0,5994613
1744,2,1,9,3,1,0,2,8407121
1291,4,2,10,20,2,1,2,8526831
2861,4,4,7,3,2,0,2,12539375
1882,5,2,9,19,7,1,1,10312558
1829,4,4,7,10,9,0,2,10147697
2036,5,3,6,14,7,1,0,10407854
1665,4,1,9,4,4,0,1,9183154
1379,3,1,5,17,8,0,0,6481254
1956,3,1,5,11,9,0,0,8094529
1730,2,2,10,6,1,1,1,8781001
2860,3,3,5,1,9,1,0,11725966
1869,4,4,7,3,3,0,2,10387716
2066,3,2,9,1,5,0,1,9879586
1404,2,1,7,14,9,0,0,6681783
2115,3,1,6,2,7,0,2,9383464
848,2,2,3,4,7,0,1,5371936
2840,3,3,10,16,3,0,0,11406119
2261,4,1,2,13,6,1,1,9167302
1911,5,1,5,5,5,1,2,9711321
683,1,1,6,4,1,0,0,4337746
1104,3,1,6,3,4,1,1,6837453
1356,4,2,4,17,8,1,2,7992612
1078,4,1,7,18,10,0,1,6881859
1663,2,2,1,14,10,0,0,6534614
1611,4,3,2,0,4,1,0,8577346
2582,5,1,6,15,9,0,0,10516048
2375,5,1,1,7,8,1,1,10049939
1143,2,2,6,11,10,1,0,6813073
2553,4,1,5,12,0,1,0,9999969
2109,5,2,2,12,8,0,1,9299290
1125,3,2,10,10,7,0,0,7431224
2879,5,2,3,9,8,0,1,11810229
1094,4,2,6,2,8,0,0,7189429
1096,4,1,6,13,6,1,1,7324254
1621,2,1,2,4,2,0,2,6940748
2980,5,2,10,7,3,0,1,12679669
2452,3,3,10,15,10,1,0,11356284
2512,4,2,3,6,3,0,1,10277971
561,2,2,4,6,3,0,0,4587314
2299,5,4,6,14,3,1,1,11529663
2990,5,4,6,12,9,0,2,12874497
2371,3,1,9,17,6,0,2,10128056
701,1,1,8,12,4,1,1,5184480
1705,4,1,9,4,7,1,0,9339829
963,1,1,7,13,5,1,0,5383355
2917,5,2,8,2,4,1,2,13288792
1171,4,1,2,3,7,1,0,6728403
2073,5,2,7,17,6,0,0,10012414
2816,5,2,3,4,2,0,1,11239491
2327,4,2,2,4,3,0,2,9950106
550,2,2,8,17,0,1,0,5111600
2448,4,4,8,2,9,0,0,11709759
1639,4,2,1,5,2,0,2,7878672
1095,2,2,6,2,0,0,1,6566192
1160,4,3,10,19,9,0,1,8387274
1975,3,1,5,10,5,1,0,8625031
2754,3,2,8,4,1,1,1,11540188
2648,3,3,4,19,0,0,2,10469086
2666,3,2,10,9,6,1,1,11688220
1949,3,3,10,15,8,1,1,10308940
